id,city,x,y,z
135,Biblis-OT-Nordheim,8.387,49.677,91.0
136,Biebesheim,8.483,49.775,90.0
137,Bienenb?ttel,10.489,53.146,51.0
138,Bischofsheim-A.d.Rh?n,9.976,50.386,440.0
139,Bischofsmais,13.089,48.914,650.0
140,Bischofswerda,14.198,51.138,313.0
141,Blaufelden-OT-Wiesenbach,10.042,49.295,470.0
142,Bleicherode,10.575,51.438,279.0
143,Blindheim,10.604,48.635,429.0
144,Bocholt-Liedern,6.537,51.829,20.0
145,Bochum,7.194,51.427,160.0
146,B?bingen,8.225,49.279,120.0
147,B?blingen,9.041,48.692,490.0
148,B?nnigheim-ST-Hohenstein,9.124,49.039,220.0
149,B?rger-Samtgem.-S?gel,7.535,52.916,30.0
150,Bokel,9.735,53.862,15.0
151,Bonn-Roleber,7.193,50.735,159.0
152,Bonndorf,8.338,47.817,850.0
153,Borken-Rhedebr?gge,6.788,51.833,50.0
154,Borkum,6.703,53.598,2.0
155,Boxberg-OT-Schweigern,9.664,49.489,232.0
156,Braak,10.244,53.609,70.0
157,Brake-Unterweser,8.477,53.328,6.0
158,Bramsche-Hesepe,7.961,52.448,48.0
159,Braunlage,10.602,51.723,602.0
160,Braunschweig-Watenb?ttel,10.446,52.291,78.0
161,Breisach,7.596,48.032,200.0
162,Bremen-Blumenthal,8.582,53.188,4.0
163,Bremen-Neuenlande,8.798,53.045,5.0
164,Bremerhaven-Weddewarden,8.535,53.601,10.0
165,Bremerv?rde,9.174,53.496,-2.0
166,Bretten,8.7,49.024,180.0
167,Briesen,14.281,52.348,43.0
168,Bruck-In-Der-Oberpfalz,12.301,49.249,380.0
169,Bruckberg,11.995,48.523,425.0
170,Br?ck,12.798,52.214,52.0
171,Br?ggen,6.184,51.245,55.0
172,Brunsb?ttel,9.132,53.899,10.0
173,Bubenreuth,11.027,49.627,283.0
174,Buchen,9.333,49.52,337.0
175,Buchholz-In-Der-Nordheide,9.889,53.338,70.0
176,Buchloe,10.723,48.034,605.0
177,Buckow,14.075,52.577,47.0
178,B?chen,10.606,53.49,20.0
179,B?ren,8.553,51.549,250.0
180,B?tthard-OT-H?ttingen,9.906,49.606,280.0
181,Burg-Dithmarschen,9.255,54.002,20.0
182,Burgbernheim,10.325,49.444,360.0
183,Burgdorf,9.996,52.449,60.0
184,Burggrub,11.27,50.289,345.0
185,Burladingen,9.145,48.289,720.0
186,Burscheid-Hilgen,7.145,51.104,224.0
187,Buschow,12.634,52.59,30.0
188,Butzbach-Bodenrod,8.541,50.395,445.0
189,Cadenberge,9.065,53.766,2.0
190,C?mmerswalde,13.508,50.709,635.0
191,Calw-ST-Heumaden,8.756,48.715,410.0
192,Carlow,10.929,53.756,40.0
193,Chamerau-OT-Lederdorn,12.789,49.197,455.0
194,Chemnitz,12.872,50.791,416.0
195,Cloppenburg,8.014,52.839,44.0
196,Coburg,10.981,50.283,320.0
197,Coppenbr?gge,9.549,52.114,135.0
198,Cramme,10.46,52.114,110.0
199,Cremlingen-OT-Schandelah,10.696,52.271,104.0
200,Creu?en,11.62,49.849,440.0
201,Criewen,14.199,53.02,45.0
202,Cuxhaven,8.706,53.871,6.0
203,Dahlenburg,10.75,53.182,45.0
204,Dahme,11.09,54.202,20.0
205,Darmstadt,8.586,49.842,138.0
206,Deggenhausertal-OT-Limp.,9.431,47.795,640.0
207,Demmin,13.052,53.898,30.0
208,Denkendorf-OT-Gelbelsee,11.429,48.947,540.0
209,Denkingen,8.755,48.105,970.0
210,Dersum,7.273,52.96,7.0
211,Deschka,15.025,51.261,173.0
212,Dessau,12.182,51.834,57.0
213,Detmold,8.886,51.934,200.0
214,Diemelsee-OT-Adorf,8.806,51.364,370.0
215,Dierdorf-Wienau,7.648,50.565,289.0
216,Dierhagen,12.31,54.282,10.0
217,Dieskau,12.038,51.438,91.0
218,Dietrichingen,7.44,49.189,235.0
219,Dietzenbach,8.8,50.02,150.0
220,Dillingen-A.-D.-Donau,10.498,48.569,420.0
221,Dinkelscherben,10.59,48.354,533.0
222,Doberlug-Kirchhain,13.575,51.645,96.0
223,D?rverden-OT-Westen,9.314,52.822,4.0
224,Dollart/Ditzumerverlaat,7.268,53.261,2.0
225,Dollerup,9.672,54.784,50.0
226,Donaueschingen,8.511,47.943,740.0
227,Dornstadt,9.94,48.467,590.0
228,Drahnsdorf,13.578,51.915,66.0
229,Drehnow,14.369,51.868,62.0
230,Drochtersen-Assel,9.427,53.692,1.0
231,Duisburg-Rheinhausen,6.699,51.412,30.0
232,Ebringen,7.805,47.955,640.0
233,Eckernf?rde,9.868,54.475,10.0
234,Egestorf-SG-Hanstedt,10.053,53.196,110.0
235,Eggenstein-Leopoldshafen,8.404,49.092,100.0
236,Ehrenfriedersdorf,12.961,50.644,563.0
237,Eisenach,10.311,50.992,232.0
238,Eisenh?ttenstadt,14.665,52.158,43.0
239,Eiterfeld-OT-Ufhausen,9.852,50.767,408.0
240,Elbergen-Emsb?ren,7.306,52.455,36.0
241,Elmenhorst,10.26,53.757,40.0
242,Elsfleth-Lienen,8.467,53.249,1.0
243,Emden-Larrelt,7.161,53.362,-5.0
244,Emlichheim,6.844,52.616,7.0
245,Emmelsb?ll,8.707,54.808,10.0
246,Ennigerloh-Westkirchen,8.041,51.888,80.0
247,Erfde,9.302,54.307,20.0
248,Erftstadt-Friesheim,6.789,50.741,133.0
249,Ering,13.152,48.303,344.0
250,Eschenburg-Simmersbach,8.388,50.834,400.0
251,Esens,7.606,53.651,9.0
252,Essen-Bredeney,6.968,51.404,150.0
253,Euskirchen,6.76,50.671,160.0
254,Fahretoft,8.795,54.705,5.0
255,Falkensee,13.133,52.556,33.0
256,Fa?berg,10.165,52.9,65.0
257,Fehrbellin,12.759,52.792,40.0
258,Feichten-A.d.Alz,12.598,48.081,523.0
259,Feldberg-OT-Altglash?tten,8.108,47.861,950.0
260,Feldkirchen,11.741,48.144,527.0
